7.987	0.12	1	0.04	5000
7.988	0.12	1	0.04	5000
7.989	0.12	1	0.04	5000
7.99	0.12	1	0.04	5000
7.991	0.12	1	0.04	5000
7.992	0.12	1	0.04	5000
7.993	0.12	1	0.04	5000
7.994	0.12	1	0.04	5000
7.995	0.12	1	0.04	5000
7.98	0.16	1	0.04	5000
7.981	0.16	1	0.04	5000
7.982	0.16	1	0.04	5000
7.983	0.16	1	0.04	5000
7.984	0.16	1	0.04	5000
7.985	0.16	1	0.04	5000
7.986	0.16	1	0.04	5000
7.987	0.16	1	0.04	5000
7.988	0.16	1	0.04	5000
7.989	0.16	1	0.04	5000
7.99	0.16	1	0.04	5000
7.991	0.16	1	0.04	5000
7.992	0.16	1	0.04	5000
7.993	0.16	1	0.04	5000
7.994	0.16	1	0.04	5000
7.995	0.16	1	0.04	5000
7.98	0.2	1	0.04	5000
7.981	0.2	1	0.04	5000
7.982	0.2	1	0.04	5000
7.983	0.2	1	0.04	5000
7.984	0.2	1	0.04	5000
7.985	0.2	1	0.04	5000
7.986	0.2	1	0.04	5000
7.987	0.2	1	0.04	5000
7.988	0.2	1	0.04	5000
7.989	0.2	1	0.04	5000
7.99	0.2	1	0.04	5000
7.991	0.2	1	0.04	5000
7.992	0.2	1	0.04	5000
7.993	0.2	1	0.04	5000
7.994	0.2	1	0.04	5000
7.995	0.2	1	0.04	5000
7.98	0.24	1	0.04	5000
7.981	0.24	1	0.04	5000
7.982	0.24	1	0.04	5000
7.983	0.24	1	0.04	5000
7.984	0.24	1	0.04	5000
7.985	0.24	1	0.04	5000
7.986	0.24	1	0.04	5000
7.987	0.24	1	0.04	5000
7.988	0.24	1	0.04	5000
7.989	0.24	1	0.04	5000
7.99	0.24	1	0.04	5000
7.991	0.24	1	0.04	5000
7.992	0.24	1	0.04	5000
7.993	0.24	1	0.04	5000
7.994	0.24	1	0.04	5000
7.995	0.24	1	0.04	5000
7.98	0.28	1	0.04	5000
7.981	0.28	1	0.04	5000
7.982	0.28	1	0.04	5000
7.983	0.28	1	0.04	5000
7.984	0.28	1	0.04	5000
7.985	0.28	1	0.04	5000
7.986	0.28	1	0.04	5000
7.987	0.28	1	0.04	5000
7.988	0.28	1	0.04	5000
7.989	0.28	1	0.04	5000
7.99	0.28	1	0.04	5000
7.991	0.28	1	0.04	5000
7.992	0.28	1	0.04	5000
7.993	0.28	1	0.04	5000
7.994	0.28	1	0.04	5000
7.995	0.28	1	0.04	5000
